,별점,내용,작성일,공감,비공감
0,10,어제의 너 보다 오늘 더 성장했는데~? ㅋㅋ 명대사! 너무재밌었어요!! +_+ 기대이상이었습니다~,2020.10.21,1509,280
1,10,2020년 본 영화중에 가장 기분 좋게 본 영화같아요,2020.10.21,1339,235
2,10,근래 본 영화 중 최고! 박혜수 진짜 너무 귀여워ㅜㅜ,2020.10.21,1195,229
3,10,억지신파 내용 아니라서 더 맘에 들어요 배우들 케미 좋네요ㅎㅎ,2020.10.21,1036,208
4,10,정의로운 세상을 꿈꾸게 되는 영화였습니다 좋아요ㅎㅎ,2020.10.21,930,195
5,9,사회적으로 시사하는바가 좋습니다. 꼭 한번 보시기를강추합니다.,2020.10.21,841,166
6,10,다들 어찌 95년생 직장인 연기가 이리 찰떡이란말이오 ㅋㅋ,2020.10.21,763,167
7,10,추억의 노래와 갬성! 이 정도로 재밌을줄 몰랐는데 너무 재밌게 봤다!,2020.10.21,589,130
8,10,고아성은 여기서도 폐수를 ㅎㅎ,2020.10.21,538,126
9,10,진짜 기대안햇는데 재밌어..,2020.10.21,506,118
10,10,이솜 진짜...옷빨 미쳣다 ㅋ 촌스러운 옷들도 찰떡같이 잘어울려 ㅋㅋ,2020.10.21,176,35
11,10,타일러 나오는것도 괜시리 반갑고 리얼햇음 ㅋㅋ,2020.10.21,168,34
12,10,이솜 캐릭터 소화력 미쳣당 ㅋ,2020.10.21,148,31
13,10,짜임새 있고 지루하지 않고 의미도 있음.,2020.10.21,154,38
14,10,세명의 여자주인공들 캐미 미쳣어요 ㅎㅎ,2020.10.21,158,44
15,10,사회 부조리에 맞서는 그녀들 ! 너무 멋있다,2020.10.21,163,49
16,10,보기전엔 캐스팅보고 의아햇는데 보고나니 진짜 완벽햇다는 생각이 ㅎ,2020.10.21,153,40
17,6,평점보고 본건데 저는 개인적으로 엄청 재밋진않았어요 ㅠㅠㅠ,2020.10.23,211,99
18,10,이거 보는데 왜케 꽈배기가 먹고싶던지 ㅋㅋ,2020.10.21,151,40
19,10,ㅋㅋㅋ진짜 회사다녀본 사람들은 다 공감할만한 내용~! 결말까지 맘에듬,2020.10.21,153,42
20,10,레트로감성 제대로 느껴지더만요 옛날이나 지금이나 직장 생활은 똑같네요,2020.10.21,148,38
21,10,아니 시간 남아서 아무 생각없이 본 영환데 개재밌게 봤어요ㅠㅠㅠ 이건 주위 사람들에게도 무조건 추천하고 싶음!!!,2020.10.21,149,39
22,10,후.. 오늘부터 박혜수 팬이다,2020.10.21,153,43
23,10,기분 좋아지고 힘나는 영화,2020.10.21,138,29
24,10,저때 직장 생활 한 사람들은 더 공감될듯,2020.10.21,145,37
25,10,아이캔두잇 유캔두잇 위캔두잇!!+_+,2020.10.21,155,47
26,10,"현실감, 몰입감, 긴장감 다 있는 영화ㅋㅋ",2020.10.21,147,43
27,10,배우들 캐미 좋구요~  사회초년생들이 보면 심히 공감 될것 같아요~,2020.10.21,147,48
28,10,"사람들의 니즈를 완벽히 파악한 영화,고작 여성들이 주체성을 회복하는 자체가 페미라고 생각하는 사람들은 어떤 세상을 살아온걸까? 그것이 제일 궁금하다 ^_^",2020.10.27,175,81
29,10,와 시간가는줄 몰랐어요 ㅋㅋ,2020.10.21,133,41
30,10,진심 올해 극장 개봉한 영화들 중 최고임,2020.10.21,135,47
31,8,"생각보가 재밋었지만 뭔가 결말부분에선 살짝 오그라드는 느낌이 들었습니다,,",2020.10.25,103,25
32,10,고아성은 정말.. 주인공의 얼굴을 가지고 있다. 용감한 사람들이 정의롭게 이기는 이야기.,2020.10.22,106,29
33,10,리얼한 연출 리얼한 연기ㅋㅋ 굿재미,2020.10.21,118,42
34,10,세 배우의 캐릭터가 뚜렷해서 더 좋음 ㅋㅋ,2020.10.22,103,28
35,10,시원시원하게 잘봤어요! 뭔가 엄마한테 보여주고 싶은 영화입니다!,2020.10.21,97,36
36,8,여자들의 회사생활에 공감 가는게 많네요... 안타까운현실도 있고..  그렇지만 밝고 씩씩한 영화라 재미있게봤어요.,2020.10.26,94,35
37,10,뻔하지만 뻔하지 않은 영화ㅋㅋ 연기도 훌륭하고 음악도 좋네요,2020.10.23,90,32
38,10,"웃음, 재미, 감동 다 잡았다!",2020.10.21,92,34
39,10,배우들 옷 보는 재미도 쏠쏠하고 95년도면 내가 초딩땐데 지금이나 그때나 직장 생활은 다 똑같구나,2020.10.21,85,32
40,10,오랜만에 참 괜찮은 영화,2020.10.21,79,27
41,10,일분일초 너무 흥미진진하고 재밌고!! 이건 입소문 제대로 탔으면 좋겠음!!,2020.10.23,74,29
42,10,배우들 케미와 90년대 레트로 느낌이 좋았다,2020.10.23,70,26
43,6,왜 평점 높은지 모르겠어요제 취향 영화는 아니네요감동이 크지도 않았어요,2020.10.29,125,81
44,10,나도 저렇게 사회생활 하고싶다ㅎ,2020.10.21,80,37
45,2,평점보고 기대했었는데 정말 실망이에요   ㅠㅠ,2020.11.01,128,85
46,9,"가뭄에 단 비 같다. 끔찍한 시체도 피도, 싸이코패스도 없다. 유쾌함과 지금 우리 시대가 가져야 하는 여성에 대한 시선만을 남겼다.",2020.11.03,56,14
47,10,영화를 보고 어제보다 오늘 더 성장함....,2020.10.27,56,14
48,9,저도 여자회사원이라 와닿는 부분이 많았어요선배 커리어우먼들 덕분에 지금은 근무환경이 훨씬 좋아진것 같네요. 회사원으로서 내가 회사를 다니는 이유를 다시 생각하게끔 하는 영화였답니다.배우들 연기도 넘 좋았어요!^^,2020.10.26,67,25
49,6,,2020.11.01,100,59
50,2,하... 1도 재미없고 오그라드는 영화.. 전형적인 오그라드는 연출과 각본.. 알바들이 평점 다올려놨네 낚이지마세여,2020.11.01,174,133
51,10,명랑 영화!!+_+ 넘 좋아요 이런거,2020.10.21,71,31
52,1,"뻔한 스토리, 비현실적 진행, 과도한 오버 연출, 돈아깝다.",2020.10.29,259,220
53,10,재밌다가 감동 받다가 슬펏다가~ ㄷㅏ해 ㅎ,2020.10.21,66,29
54,10,삼진그룹은 좋겠다~ 저런 직원들이 있어서^^,2020.10.21,72,35
55,10,안된다고 포기하기전에 실천합시다!,2020.10.21,65,29
56,10,억지 웃음과 눈물이 아니여서 더 좋았던ㅎㅎㅎ,2020.10.21,67,31
57,10,성공한 커리어우먼들~화이팅!,2020.10.23,68,32
58,10,이렇게 용감하고 귀여운 영화라니!,2020.10.22,56,22
59,2,진짜 개삼류영화를 평점. 이게 .9점대라고? 전세계적으로 창피한거다.,2020.10.25,282,248
60,5,,2020.11.08,57,24
61,1,솔직한 평가입니다. 좀 유치했어요 뻔한 스토리 에 펙트하나만 꽂아드린다면 영화 제목이 왜 삼진그룹 영어토익반인지 모르겠어요. 시사회로 보러가서 다행이지 돈주고 봤으면 정말 돈아까울 영화였습니다.,2020.10.22,58,28
62,10,"시사회로 저번 주에 봤는데 정말 좋았습니다 연기, 연출, ost 모두 좋았어요 고아성 이솜 박혜수 짱!",2020.10.21,60,31
63,1,"이런식으로 여성서사를 다룬다는 것은, 오히려 조롱이 아닐까 생각된다. 조선에서는 서프러젠트, 라라랜드 같은 영화가 언제 나올 수 있을까....",2020.10.30,40,12
64,10,톡톡 튀는 캐릭터들 덕분에 더 재밌게 봤다+_+,2020.10.21,57,29
65,10,정말로 좋은 영화입니다. 재미있어요 :),2020.10.21,59,31
66,10,정말 오랜만에 레트로감성.. 가을과 딱 어울리는 영화인듯!,2020.10.22,53,26
67,9,전형적인 요소들이 분명 있었지만 그럼에도 소중한 영화,2020.10.27,40,15
68,10,오상무로 출연한 백현진씨 연기 짱입니다,2020.10.21,48,23
69,10,3인방의 연기앙상블이 너무 좋다,2020.10.24,38,15
70,1,뻔한 연출에 구도. 후반부는 신파떡칠대기업까고 우먼파워에 초점을 맞추니 평론가들은 고평점이네 치트키를 알아버린 감독의 혜안에 박수,2020.10.25,43,20
71,10,어제의 너 보다 오늘 더 성장할 수 있는 하루를 보내길,2020.10.23,43,20
72,10,저번주 메가박스 코엑스 시시회 미리보고왔습니다.. 다들 어려운 시기에 하나가되어 열심히 공부하는 모습 보기좋았습니다.. 이영화처럼 코로나도 희망적으로 빨리 종식되었음 하는 바람입니다..,2020.10.21,44,21
73,10,,2020.10.22,47,24
74,10,레트로 감성 가득한 영화였네요 좋았습니다,2020.10.21,47,24
75,7,주연 셋 조합 최고..고아성 최고..,2020.10.29,33,12
76,10,엄청나게 통쾌한 영화 ㅋㅋ 배우들의 연기와 스토리가 한몫 했다,2020.10.21,45,25
77,10,사람은 무엇으로 사는지 다시 생각하게 하는 영화,2020.10.26,35,16
78,4,사실 그냥...뭐 그냥 저냥 느낌이에요 킬링타임으론 괜츈,2020.10.31,36,17
79,10,오랜만에 만족한 한국영화,2020.10.22,36,17
80,9,지굼 제가 하고 있는 일에 대해 생각해볼 수 있는 시간이였어요 배우들 연기가 너무 좋았구 고아성님 이쁘세용~,2020.10.30,28,10
81,9,90년대 배경 영화인데 왜 공감이 가져?? ㅋㅋ 어제의 세상보다 오늘 더 성장하는 세상이 빨리 왔음 좋겠어요! 기분좋아지는 영화에요 ~^^,2020.10.24,35,17
82,10,이런 영화 너무 기다렸습니다!,2020.10.21,36,18
83,10,배우 스토리 연출 다 좋음 만족스러움 ㅎㅎ,2020.10.22,37,19
84,10,정말 재밌게 봤어여 강추합니당,2020.10.21,39,21
85,8,캐릭터가 많아서 드라마로 나와도 재밌을 거 같음,2020.10.21,26,9
86,10,"간만에 너무 유치하지도 않은, 그렇다고 기분나쁘지도 않은 사랑스러운 작품을 본 것 같아요. 흥하세요!!!",2020.10.26,29,12
87,10,즐겁고 다정한 영화. 그러나 그것 만이 아닌 영화.,2020.10.25,33,16
88,8,90년대 느낌 좋아하는분들에겐 볼만해요..중후반에 조금 과하게 늘어지는 느낌이 있지만 음악도 좋고 전체적으로 괜찮았네요,2020.10.24,34,17
89,10,재미있었어요! 나름 탄탄하고 눈에거슬리는 연기 연출 진행 등이 없었어요,2020.10.25,25,9
90,10,종합선물세트를 열어서 본 것 같은 기분 좋음ㅎㅎ,2020.10.24,27,11
91,10,배우들의 케미 굳 언니들 멋지다~! 간만에 엄마랑 재미있게 보고왓습니다,2020.10.24,29,13
92,10,왜 이렇게 잘만든겁니까,2020.10.22,35,19
93,1,"진짜 너무 별로였던 영화였다. 솔직히 내용도 별로였고, 내용은 둘째치더라도 연출이 쓰레기 그 이하다. 배우들만 불쌍해지는 연출, 무얼 말하고 싶은지도 모르겠고, 연관성 및 개연성도 없고, 갑자기 백인은 나쁜놈으로 묘...",2020.10.23,36,20
94,9,나도 출근 하고 싶다...,2020.10.22,42,26
95,1,인생 최악의 영화쓸데없는 갈등조장에 개연성 제로설정도 말도 안되게 함. 보지마세요.,2020.10.25,22,7
96,1,1점도 아까움정말 재미없다,2020.10.23,22,7
97,8,재밌어요 고아성이솜박혜수 케미도좋아요,2020.10.27,23,8
98,10,오랜만에 한국영화 참 잘만들었다는 생각,2020.10.27,28,13
99,10,별 생각없이 보러갔다가 반하고 나온 영화,2020.10.25,28,13
100,8,가볍게 보려했는데 가벼운 영화가 아니다,2020.10.30,29,14
101,1,개노잼 질질끌기 오그라듬 억지 감동 억지 해피엔딩이거 볼 시간에 못한 손톱 발톱 정리하는게 나을듯,2020.10.27,15,1
102,1,쓰레기는 쓰레기통에....,2020.10.27,17,3
103,1,ㅋㅋㅋ 이거 평점 왜이리 높냐 유치함에 모자라 억지 연출까지. 10점 태러할 영화는 절대 아닌데,2020.10.26,19,5
104,1,인생 최악의 영화다 일차원보다 못한 연출에 나쁜반전 10번 좋은 반전 10번 다 쑤셔넣고 거기에 비지엠 때려 넣어서 이상한 놀람과 유쾌함 들어라고 강요하지만 불쾌함만 들었다.그냥 관람객 기만하는 느낌이었다,2020.10.25,20,6
105,10,코로나로 힘든데 이 영화보고 힘내세요!! 뭔가 마음이 따듯해져요ㅎ,2020.10.29,21,7
106,10,재미있습니다  보세요 ㅎ,2020.10.27,21,7
107,10,슬픈 장면이 아닌데도 자꾸만 울컥하게 되는 영화. 이런 영화가 더 많이 나왔으면 좋겠다.,2020.11.02,23,9
108,4,안녕하세요 여러분 저는 이 영화를 개봉전에 시사회에 당첨되서 본 20대입니다. 왜 이렇게 이 영화를 홍보할까요??? 스토리에 자신이 있고 흥행이 보장된다면 그렇지 않았겠죠?? 이렇게 후기 좋고 재미있는 영화가 아닙니...,2020.10.25,16,3
109,9,"90년대 회사생활을 몰래 들여다 보는 느낌 가득, 유쾌한 스토리로 웃으며 기분좋게 나올 수 있는 영화였습니다",2020.10.30,18,5
110,1,"예매할땐 만석,나올땐 공석,이걸 본 나는 어리석.",2020.10.26,19,6
111,10,개재밌었음 보람이 넘귀여움 ㅠㅠ,2020.10.25,21,8
112,10,올해본영화중에서 제일 재밌게봤어요 또보러가야지,2020.10.22,21,8
113,10,,2020.10.27,24,11
114,6,잼있기는한데 스크린에서 보는건  아깝다는생각이 들더라고요ㅠㅠ,2020.11.08,26,13
115,10,내가 하는 일이 의미있는 일이었음 한다!,2020.11.06,13,1
116,10,,2020.11.06,14,2
117,1,시간이 남아돈다면 보러가는걸 추천 시간아까움 평점 2점정도는 주려고 했는데 말도 안되는 평점이라 기각.,2020.10.27,14,2
118,1,저지능 페미들을 위한 SF사회영화 ㅋㅋㅋ 이걸보고 사회를 배운다는게 참 안타깝기도하고 역겹기도하고 그렇다. 그 페미들의 명언을 보고 리뷰를 마무리 짓겠다.익인1: 어디 회사 다녀?글쓴이: 회사 안다녀!익인2: 아.....,2020.10.26,22,10
119,9,생각보다 내용도 좋고 재미 있었어요~,2020.10.23,34,22
120,10,"저번주 씨집회원시사로 봤는데, 절대 재밌는 영화 배우들도 그렇고 제목도 신기해서 갸우뚱 하면서 상영관을 입장했더랬지, 갸우뚱 한 내 목을 뽑아버리고 싶게 잼남.",2020.10.21,35,23
121,1,별로였습니다 보지마세요,2020.11.01,12,1
122,1,"재미없고, 지루하고, 루즈하고, 텐션없고, 반전없고, 감동없고, 감독이 담고 싶은건 많았는데 역량이 딸려서 영화가 산으로 간 느낌그래서 말하고 싶은게 뭔지 모르겠고.영화가 컨셉이 하나여야 하는데이것저것 담고 싶은게 ...",2020.10.27,12,1
123,10,유쾌하면서 감동적임 가볍지 않고 한장면 한장면 생각할 거리가 있는 촘촘한 영화,2020.11.02,18,7
124,10,연기 연출 스토리 모두 만족스러운 영화ㅋㅋㅋ 재밌네,2020.10.22,19,8
125,10,,2020.10.25,20,9
126,10,무거운 주제를 유쾌하게 풀어내서 좋았습니다~,2020.10.22,20,9
127,10,재밌다재밌다재밌다주인공들 캐릭터 하나하나 개성이 돋보인다,2020.10.23,25,14
128,10,배우들이 다 제각각 다른 매력이 있고 그게 돋보여서 너무 좋았어요! 그리고 여성 주연들이 주가 돼서 극을 이끌어 가는 것도 좋았습니다.,2020.10.25,34,23
129,9,스토리가 재밌고 연기도 좋네요 생각했던 것보다 재밌고 가볍게 보기 좋네요,2020.10.29,17,7
130,10,재밌게 봤어요!!!! 완전 강추!!!,2020.10.24,17,7
131,10,멋진영화네요 물론 재미도 확실히 있구요~,2020.10.22,17,7
132,10,끝까지 포기하지 않는 세 배우의 감동적인 스토리!90년대 배경이지만 절대 촌스럽지않은 스타일 ㅎㅎㅎ적극추천♡,2020.10.25,18,8
133,10,굉장히 현실적이고 재밌었던 영화ㅎㅎ,2020.10.24,19,9
134,10,오랜만에 재미난 영화 봤습니다옛날 추억도 새록새록...무거울수 있는 환경 문제도 유쾌하게 잘 만들어 진 영화라 생각합니다,2020.10.29,20,10
135,10,존잼존잼 연기도 다들 잘하구,2020.10.22,21,11
136,9,"1990년대라고 하지만, 2020년도 겪었던 일들이 있어서 생각이 많아졌던 영화. 적당한 선에서 조절되었기에 괜찮았다. 쉽고 편하게 접근하기에 좋았던 영화.",2020.10.27,22,12
137,8,,2020.10.25,22,12
138,10,간만에 영화 보고 뿌듯함을 느낄 수 있었다!,2020.10.21,26,16
139,1,어이가 없네.. 박혜수 연기하지마라 진짜..ㅡ ㅡ,2020.10.25,9,0
140,7,재밌게 잘 봤어요 썁쌸ㅋ,2020.11.03,11,2
141,1,배우들 매력으로 이렇게밖에 못만드는게 참...  특히 후반부에는 이게과연 2020년 영화인지,2020.10.25,12,3
142,10,배우들 케미가 좋은 영화. 이솜 스타일이 너무 착붙임ㅜㅜ재밌었어요,2020.11.07,13,4
143,1,"흐름이 어색한곳도 있고, 번잡하네요.",2020.10.25,13,4
144,1,사회비판인 척 하지만 알고보면 페미영화,2020.10.26,14,5
145,10,영화 시대와 현대 사회의 모습을 생각해보게 되는 영화이다.,2020.11.02,15,6
146,10,배우들의 연기 매우 좋아요. 스토리도 복고이지만 시간 가는줄 모르고 관람 했습니다~^^,2020.10.29,15,6
147,1,돈  시간 아깝다 평점알바들 적당히해라,2020.10.25,17,8
148,2,유치하고 진부함...,2020.10.25,17,8
149,10,레트로 느낌에 가볍게 웃을 수 있는 영화입니다 너무 재밌었어요ㅎㅎ,2020.10.24,17,8
150,10,새로운 느낌도 좋고 재미도 있었어요,2020.10.23,19,10
151,8,,2020.10.29,20,11
152,10,"메시지, 스토리, 연기력, 캐릭터 매력 전부 완벽. 유일한 오점은 다소 유치한 연출뿐.",2020.10.23,20,11
153,1,그냥 신파극 그냥 신파극 개연성 떨어짐,2020.10.30,8,0
154,1,진짜 말도 안되는 영화네요,2020.10.30,8,0
155,8,고졸여성사원들의 당찬 스토리가 시원하고 재밌어요,2020.11.07,9,1
156,1,여기 알바천국인가요??평점 처음남겨 보는데피해자 없길 바라는 마음에서 올립니다,2020.10.27,9,1
157,1,"알바새끼들 땜에 낚여서봤는데 영화보다가 오랜만에 잠들번했네 내용도 노잼, 웃음포인트도 없고 억지감동 쥐어짜내기만있네",2020.10.25,9,1
158,4,"평점에 속아서 봤는데, 그냥 킬링타임용 전형적인 한국영화네요... 결말로 갈수록 엉성한 스토리에 오그라드는 연출..실망스럽습니다ㅜ 평점알바가 여전히 많다는 사실을 이번에 제대로 느낍니다..",2020.10.25,9,1
159,10,,2020.11.07,10,2
160,9,"잔잔하지만 여운도 많고 스토리도 좋고 ,, 배우들도 연기 잘합니다... 기분이 좋아지는 영화 였습니다.",2020.11.03,11,3
161,1,"이게 재밌다는 사람들은 알바,페미 뿐임",2020.10.25,12,4
162,10,친구랑 보고 너뮤 재미있어서 엄마랑 한번 더 봤음 ㅠㅠ 이솜 너무 예쁨,2020.11.02,14,6
163,1,하 ㅋㅋ 진짜 말이안나온다,2020.10.24,14,6
164,7,"샛길로 빠지지 않고, 캐릭터와 시대가 가진 매력으로 우직하게 앞으로 나아간다.",2020.10.27,15,7
165,10,영화도 재밌고 연기도 잘하고 옷패션도 하나같이 예쁨ㅠ,2020.10.22,15,7
166,10,코믹 눈물 다 적당하고 정말 재미있게 봤어요,2020.10.22,15,7
167,9,"유머와 메세지가 잘 어우러진 기분 좋은 영화! 흥미진진한 스토리에 다양한 캐릭터 활용, 그 시절을 보는 듯한 90년대 묘사가 좋았음. 조금은 뻔하고 유치해도 그게 매력.",2020.10.21,15,7
168,8,엄마랑 같이 보니 좋아하시네요~ 이솜님 연기 너무 찰떡이였음,2020.10.25,16,8
169,10,와 재미 감동은 물론이고 카타르시스ㄷㄷ.. 장난 아닌데?,2020.10.22,16,8
170,10,재밌고 신선하고 통쾌했어요,2020.10.22,16,8
171,8,영화 시작과 중간중간 들리는 레트로 음악이 영화랑 너무 잘 어울렸고 저도 상고 출신이라 공감이 많이 갔습니다! 다만 살짝 유치한 연출이 아쉽네요 전개가 빠른 것은 장점이자 단점이었습니다.,2020.10.29,17,9
172,10,재밌어요! 재밌다가 슬펐다가 스릴있고그럼,2020.10.25,17,9
173,10,너무 재밌었고 캐릭터 하나하나 매우 사랑스러운 영화였습니다!,2020.10.22,17,9
174,10,열심히 살고 싶어졌어요 ㅋㅋ 잘봤습니다.,2020.10.22,17,9
175,10,그 시절 상황을 재밌게 잘 대변한 영화,2020.10.22,18,10
176,10,연기 연출 스토리 모두 최고.. 음악도 너무 좋고 그때 그 시절의 배경과 소품 의상까지 보는 재미도 쏠쏠하네요ㅎㅎ,2020.10.21,18,10
177,10,어제보다 오늘 더 성장한 그녀들의 통쾌한 한방!,2020.10.21,18,10
178,10,배우들 연기도 좋고 레트로한 분위기의 ost도 엔딩크레딧까지도 전부 좋았어요,2020.10.24,20,12
179,8,엄마랑 같이 보기에 부담없이재밌게 잘보고 왔어요~^^,2020.10.23,21,13
180,10,유쾌 상쾌 통쾌 굿굿 강추 !!,2020.10.23,24,16
181,10,여성들과 사회약자들의 선한 영향력! 좋은 영화 감사합니다!,2020.11.03,30,22
182,8,내용도 좋고 재미있게 잘 봤어요^^,2020.11.03,9,2
183,1,40평생 이런 최악의 영화를 본 적이 없는데 평점이 왜 이러죠? 평점 알바 아닌가요? 너무 이상해서 살펴보니 높은 평점 준 사람들 아이디 상당수가 기계가 인위적으로 만들어낸 것 같아요. 정말 살다살다 이렇게 허접하고...,2020.11.01,9,2
184,1,"평점이 좋은 이유 모르겠네요. 본 영화중에 최악이네요.스토리 축축 쳐지고, 재미 없고 벌써 지나간 사회문제 제기는  너무 진부한데, 평점까지 사기라니...요즘 영화 맞나요?백년 전 영화인줄...",2020.10.28,9,2
185,10,재미있게 보았습니다.,2020.11.07,11,4
186,10,킬링타임용으로 좋았어요한국영화들 직접 가서 보고 실망한적 많은데얘는 괜찮았어요!!연기도 잘하고 스토리도 뭔가 오잉 또잉 하는 느낌이라 전 재밌게봤습니당,2020.11.08,12,5
187,10,요즘에 본영화중에 최고~~~배우분들 연기력 짱 입니다~~,2020.10.25,12,5
188,10,마무리까지 만족스러웠습니다 ㅎㅎ,2020.10.22,12,5
189,10,진짜 재밌고 공감되고 적당히 눈물도 나던 영화다,2020.10.27,13,6
190,10,"연기, 연출, 스토리 빠지는 거 없이 다 좋았음! 올해 본 영화 중 최고!!",2020.10.28,15,8
191,10,처음부터 끝까지 계속 재밌어서 시간이 후다닥~~오랜만에 본 영화인데 배우들 다 연기 잘하셔서 너무 잘봤다는 느낌,2020.10.25,15,8
192,10,배우들이 정말 사랑스럽습니다..소재는 가볍지 않더라도 영화 자체가유쾌하여서 기분 좋게 봤어요기승전결 완벽하고 힐링 영화이면서도긴장감이 있어서 또 보고싶어요,2020.10.25,15,8
193,10,"스토리 탄탄하고 온갖 욕설과 총,칼, 폭력이 난무하지 않아서 너무너무너무 좋았고사이다로 중간중간 터지는 웃음이 기분 좋았고영화가 끝나고도 찝찝한 영화들 있는데 아주 개운했어요!!",2020.10.29,16,9
194,1,왜 관람객 평점이 높지? 하고 의문을 품지 마세요 여러분. 저분들은 이미 영화관에 발을 들이는 순간부터 10점을 줄 생각으로 영화표를 구매하고 보러간 분들입니다. 여성 배우들만 나와서 으쌰으쌰 하는 영화를 응원하러 ...,2020.10.25,17,10
195,1,정말 뻔한 클리셰 덩어리 영화이런것좀 제발 그만좀 만들어라진짜 ㅆㅎㅌㅊ 게다가 페미 묻어서 더러움,2020.10.23,17,10
196,10,이런 내용인지 몰랐는데 재밌네요 눈물 흘린건 안비밀..ㅎㅎ,2020.10.22,17,10
197,10,"진짜 지루할 틈 없이 보게 됨,, 어느새 영화는 끝나 있고ㅋㅋㅋㅋ",2020.10.21,18,11
198,9,두번 봐도 정말 재밋고 감동잇는 영화네요 세 여배우분들 정말 연기 굿이네요,2020.10.21,18,11
199,10,올해 가장 재밌는 영화인듯~,2020.10.23,23,16
200,10,"편견과 차별을 넘어 용기와 도전을 향해 달려가고, 그것을 마침내 이뤄내는 모습을 보여주는 영화. 어쩌면 지금 시대에 나올 수 있는 최고의 걸작이 아닐까 =라는 생각이 든다. 영화를 보는 내내 위로와 감동을 받았다. ...",2020.10.21,23,16
201,10,"20일에 시사회 봤습니다상고 나와서 대기업 들어간 우리 엄마 저렇게 고생했구나 생각하면서 짠했네요.. 여직원들이 차별받고 무시 당하는 걸 곳곳에 잘 담아냈어요 그렇다고 해서 너무 무겁지는 않고, 가볍게 잘 풀어냈고 ...",2020.10.21,24,17
202,10,시사회로 보고 왔는데 재미만 있더만 ㅋㅋㅋ 실관람평도 아니면서 욕하는거 보면 참...,2020.10.21,29,22
203,1,아 평점믿고 봤더만 존나 재미없네 아오,2020.11.08,6,0
204,1,"마무으리가....,.",2020.11.03,6,0
205,1,"재미없는반전 , 억지감동을줄라하는게 너무 과하고전반전으로 너무 정신이없다",2020.11.03,6,0
206,2,휴 이딴식으로 한국 영화 나오면 다시는 한국 영화보러 극장 안간다,2020.11.01,6,0
207,1,,2020.10.26,6,0
208,1,정말 궁금한데 막 공감되고 슬프다는 평론이 많은데 시대적 배경은 1900년대 후반  주로 좋아하는 연령대 층은 20대 여성????뭐지 뭐가  심각하게 안맞는 느낌이다 이거 공감된다는 20대 여성분들 초 엘리트인가 보...,2020.10.25,6,0
209,10,기대 안하고 봤는데 재밌었어요 기분 전환하기 딱 좋은듯,2020.10.21,6,0
210,10,기대하고 봐도 기대이상의 재미를 느끼게 해준다ㅋㅋ,2020.10.21,6,0
211,1,옛날감성 써니같은 영화일줄 알았다. 이렇게 재미 없기도 쉽지않음. 이건 집에서 다운로드용도 안됩니다. 그냥 시간 버리는것임. 보지 민시길.,2020.11.09,7,1
212,1,님들진짜진지하게 이게재밌어요..?알바그만써요진짜 ㅋㅋ시간돈다날렸네,2020.11.02,7,1
213,1,진부  최악임   알바  ㄴ ㄴ  노잼  억지,2020.11.01,7,1
214,1,왜 평점이 높은지 모르겠어요. 내 돈주고는 안봐요,2020.10.31,7,1
215,2,조폭마누라보다 못 한 개연성과 어색한 연출.. 배우가 좋다고 평점으로 거짓말하진 맙시다 오글거리는 장면이 너무 많아서 중후반부에는 빨리 집에 가고싶었어요 작품성을 따지기보단 시간을 죽이며 팝콘맛을 느끼고 싶을 때 추...,2020.10.26,7,1
216,1,"고아성, 김종수 외에 살아 있는 캐릭터는 없었다. 두 배우를 칭찬하거나 다른 배우를 비난하는 건 아니다. 감독을 욕하는 거다. 부끄러운줄 알아라.",2020.10.25,7,1
217,9,요즘같이 우울한 시기에 웃음을 주는 영화인 것 같아요!,2020.11.04,8,2
218,1,꿀잠자다가 하수구소리땜에 몇번을 깨버렷네... 오글오글 클리쉐 신파 한국의 영화산업의 미래가 어둡습니다..  9점대라니;;,2020.10.28,8,2
219,1,하....보다 중간에 나갈뻔..난 그래도 제목보고 영어공부 빡시게 해서 진급하는 과정을 보려고 갔던건데 그런건 안나오고 무슨 키드깽2 보는줄알았네 .. 걸스캔두애니띵!,2020.10.26,8,2
220,1,음 중반까지는 그럭저럭 끌고가지만 끝으로 갈수로 유치 찬란한 억지 마무리   ㅡㅡ 걍 집에서보세요,2020.10.26,8,2
221,1,삼뽕영화,2020.10.26,8,2
222,1,평점  조정,2020.10.26,8,2
223,1,형편없는 쓰레기영화..억지반전에 보는내내 민망한구성..영화제목에 낚였음..비추..절대보지마세요!,2020.10.26,8,2
224,1,이걸 본 시간이랑 돈이 아깝다,2020.10.26,8,2
225,1,여상출신 고졸들의 멋진 도전과 성장영화를 기대했는데 노골적인 페미와 억지감동 저급영화일줄은 상상도 못했다 ....,2020.10.26,8,2
226,1,드릅게 재미없습니다 하하,2020.10.25,8,2
227,10,스토리도 재밌고 배우들의 연기 또한 훌륭하네요 솔직히 큰 기대는 안했는데 너무 재밌게 봤습니다,2020.10.21,8,2
228,10,아내와 봤지만팀원들과 다시보고 싶은영화감동이있네요,2020.11.07,9,3
229,10,"잘못된건 숨기지말고 바로잡아야 된다는 거, 어른으로서 마땅히 후손들에게 물려줘야할 가장 핵심적인 요소",2020.11.04,9,3
230,1,드라마 보다 못한 최악의 영화,2020.10.28,9,3
