,광역시도,시군구,20-39세,20-39세,20-39세,65세이상,65세이상,65세이상,인구수,인구수,인구수,소멸비율,소멸위기지역
구분,,,계,남자,여자,계,남자,여자,계,남자,여자,,
46,경기, 포천시,29729.0,16032.0,13697.0,24626.0,11053.0,13573.0,135779.0,70116.0,65663.0,1.1124015268415497,False
47,경기, 하남시,71746.0,35572.0,36174.0,31299.0,14734.0,16565.0,254528.0,126779.0,127749.0,2.3115115498897727,False
48,경기, 화성시,229274.0,117606.0,111668.0,64048.0,28692.0,35356.0,768956.0,393408.0,375548.0,3.4870097426929805,False
49,경남, 거제시,58101.0,30351.0,27750.0,23216.0,10341.0,12875.0,232585.0,120346.0,112239.0,2.390592694693315,False
50,경남, 거창군,9445.0,5024.0,4421.0,15425.0,6123.0,9302.0,56403.0,27277.0,29126.0,0.57322528363047,True
51,경남, 고성군,7352.0,4067.0,3285.0,14272.0,5840.0,8432.0,46838.0,23118.0,23720.0,0.4603419282511211,True
52,경남, 김해시,129227.0,65869.0,63358.0,52747.0,22611.0,30136.0,509414.0,254664.0,254750.0,2.4023356778584564,False
53,경남, 남해군,4833.0,2688.0,2145.0,14868.0,5888.0,8980.0,39237.0,18754.0,20483.0,0.2885391444713479,True
54,경남, 밀양시,16579.0,8791.0,7788.0,26056.0,10779.0,15277.0,96207.0,46631.0,49576.0,0.5977893767270495,True
55,경남, 사천시,20869.0,11429.0,9440.0,21648.0,8821.0,12827.0,103059.0,51358.0,51701.0,0.8721359940872137,True
56,경남, 산청군,3993.0,2135.0,1858.0,11163.0,4533.0,6630.0,31311.0,15203.0,16108.0,0.33288542506494667,True
57,경남, 양산시,85945.0,43569.0,42376.0,41056.0,17991.0,23065.0,329721.0,163340.0,166381.0,2.064302416212003,False
58,경남, 의령군,3323.0,1744.0,1579.0,8713.0,3370.0,5343.0,23911.0,11453.0,12458.0,0.3624469183977964,True
59,경남, 진주시,81837.0,42241.0,39596.0,52845.0,22070.0,30775.0,332208.0,163346.0,168862.0,1.4985712934052418,False
60,경남, 창녕군,9435.0,5153.0,4282.0,16795.0,6847.0,9948.0,56181.0,27648.0,28533.0,0.5099136647811848,True
61,경남, 창원시,83166.0,43547.0,39619.0,43655.333333333336,19563.0,24092.333333333332,328708.6666666667,164694.0,164014.66666666666,1.8150817769497425,False
62,경남, 통영시,24459.0,12662.0,11797.0,22350.0,9645.0,12705.0,122162.0,60826.0,61336.0,1.0556599552572707,False
63,경남, 하동군,5499.0,3066.0,2433.0,13811.0,5543.0,8268.0,40744.0,19901.0,20843.0,0.3523278546086453,True
64,경남, 함안군,10996.0,5780.0,5216.0,13955.0,5722.0,8233.0,60079.0,29988.0,30091.0,0.747545682551057,True
65,경남, 함양군,4844.0,2570.0,2274.0,11805.0,4631.0,7174.0,35496.0,16980.0,18516.0,0.3852604828462516,True
66,경남, 합천군,5071.0,2773.0,2298.0,15547.0,6030.0,9517.0,40085.0,19085.0,21000.0,0.29561973371068373,True
67,경북, 경산시,70122.0,37166.0,32956.0,39828.0,17051.0,22777.0,255939.0,127793.0,128146.0,1.6549161393994174,False
68,경북, 경주시,51111.0,27491.0,23620.0,50746.0,21311.0,29435.0,239382.0,119114.0,120268.0,0.9309108107042919,True
69,경북, 고령군,4501.0,2427.0,2074.0,8819.0,3763.0,5056.0,29019.0,14552.0,14467.0,0.4703481120308425,True
70,경북, 구미시,116063.0,61478.0,54585.0,35323.0,15195.0,20128.0,396338.0,201545.0,194793.0,3.090620841944342,False
71,경북, 군위군,2621.0,1480.0,1141.0,8360.0,3623.0,4737.0,20861.0,10491.0,10370.0,0.27296650717703347,True
72,경북, 김천시,27713.0,14640.0,13073.0,29105.0,12087.0,17018.0,129665.0,63978.0,65687.0,0.8983336196529806,True
73,경북, 문경시,10167.0,5401.0,4766.0,19266.0,7931.0,11335.0,64832.0,31547.0,33285.0,0.49475760406934494,True
74,경북, 봉화군,3568.0,1884.0,1684.0,10308.0,4427.0,5881.0,28857.0,14309.0,14548.0,0.32673651532790066,True
75,경북, 상주시,14788.0,8153.0,6635.0,27712.0,11216.0,16496.0,90827.0,44325.0,46502.0,0.4788539260969977,True
76,경북, 성주군,6021.0,3358.0,2663.0,11890.0,5175.0,6715.0,38006.0,19264.0,18742.0,0.4479394449116905,True
77,경북, 안동시,30402.0,15974.0,14428.0,34890.0,14881.0,20009.0,148890.0,73525.0,75365.0,0.8270564631699627,True
78,경북, 영덕군,4489.0,2403.0,2086.0,12502.0,4869.0,7633.0,33715.0,15906.0,17809.0,0.3337066069428891,True
79,경북, 영양군,1865.0,986.0,879.0,5674.0,2374.0,3300.0,15272.0,7531.0,7741.0,0.3098343320408883,True
80,경북, 영주시,17125.0,9245.0,7880.0,25317.0,10830.0,14487.0,97309.0,47843.0,49466.0,0.6225066161077537,True
81,경북, 영천시,17393.0,9422.0,7971.0,25552.0,10802.0,14750.0,92731.0,46027.0,46704.0,0.6239041953663118,True
82,경북, 예천군,8502.0,4323.0,4179.0,15336.0,6416.0,8920.0,50742.0,24733.0,26009.0,0.5449921752738655,True
83,경북, 울릉군,1506.0,874.0,632.0,1972.0,904.0,1068.0,8200.0,4436.0,3764.0,0.640973630831643,True
84,경북, 울진군,7500.0,4191.0,3309.0,12405.0,4936.0,7469.0,44272.0,22032.0,22240.0,0.5334945586457074,True
85,경북, 의성군,5802.0,3205.0,2597.0,19316.0,8030.0,11286.0,47133.0,22823.0,24310.0,0.26889625181196936,True
86,경북, 청도군,5033.0,2762.0,2271.0,14261.0,5971.0,8290.0,38218.0,18446.0,19772.0,0.3184909894116822,True
87,경북, 청송군,3120.0,1796.0,1324.0,8408.0,3632.0,4776.0,23031.0,11451.0,11580.0,0.3149381541389153,True
88,경북, 칠곡군,26524.0,14151.0,12373.0,15881.0,6654.0,9227.0,108254.0,55417.0,52837.0,1.558214218248221,False
89,경북, 포항시,70594.0,37210.666666666664,33383.333333333336,51221.333333333336,23237.333333333332,27984.0,317338.0,158700.0,158638.0,1.3034933361099543,False
90,광주, 광산구,108402.0,53657.0,54745.0,33965.0,14191.0,19774.0,392634.0,195701.0,196933.0,3.2236125423229796,False
91,광주, 남구,52095.0,25452.0,26643.0,34372.0,15104.0,19268.0,209133.0,100399.0,108734.0,1.5502734784126615,False
92,광주, 동구,26870.0,13869.0,13001.0,19994.0,8991.0,11003.0,95738.0,47381.0,48357.0,1.3004901470441133,False
93,광주, 북구,115023.0,58085.0,56938.0,58933.0,26052.0,32881.0,422264.0,208100.0,214164.0,1.9322959971493052,False
94,광주, 서구,77733.0,38131.0,39602.0,38366.0,16885.0,21481.0,289981.0,141373.0,148608.0,2.064432049210238,False
95,대구, 남구,36403.0,18344.0,18059.0,31219.0,13191.0,18028.0,141016.0,67453.0,73563.0,1.1569236682789328,False
96,대구, 달서구,142081.0,72376.0,69705.0,72740.0,31767.0,40973.0,549980.0,269246.0,280734.0,1.9165521033819082,False
97,대구, 달성군,68262.0,35250.0,33012.0,27906.0,12261.0,15645.0,243000.0,122037.0,120963.0,2.36594280799828,False
98,대구, 동구,82204.0,42216.0,39988.0,60517.0,25970.0,34547.0,328007.0,160082.0,167925.0,1.3215460118644349,False
