,공원명,면적,공원주소,lat,lng
14,훈련원근린공원,16734.60㎥ ,서울특별시 중구 을지로 227,37.5675245,127.0038188
15,영등포근린공원,61544㎡ 녹지대 : 40792㎡ 광 장 : 6600㎡ 기 타 : 14152㎡,서울특별시 영등포구 신길로 275,37.515423,126.91066200000002
16,보라매근린공원,424106㎡ ,서울특별시 동작구 여의대방로20길 33(보라매공원),37.492333,126.91828899999999
17,어린이대공원,560552㎡,서울특별시 광진구 능동로 216(어린이대공원),37.5498987,127.0809212
18,천호근린공원,26696.8㎥ ,서울특별시 강동구 올림픽로 702(천호공원),37.5444741,127.1263451
19,용산가족공원,75900㎡,서울특별시 용산구 서빙고로 185,37.522226,126.98333500000001
20,독립근린공원,113021.7m2,서울특별시 서대문구 통일로251(독립공원),37.5738289,126.956771
21,낙산근린공원,201779㎥ ,서울특별시 종로구 낙산길 41 (우) 03085,37.580477,127.00758700000002
22,양재시민의숲,258991㎡   ,서울특별시 서초구 매헌로 99 (양재동),37.471225,127.03504199999999
23,관악산도시자연공원,10420819.08㎡,서울특별시 관악구 관악로 1(관악산공원),37.445208,126.96413000000001
24,효창근린공원,171294.1㎥,서울특별시 용산구 효창원로 177-18,37.545234,126.95993
25,감로천생태공원(관악산),총 15000㎡,서울특별시 금천구 독산4동 371?375 373일대,37.469625,126.9079509
26,개운산근린공원,297926㎡,서울특별시 성북구 북악산로 949-73(돈암동 6-1),37.596583700000004,127.0252858
27,개웅산근린공원,411972㎡,서울특별시 구로구 오류동 산13-1,37.4888943,126.84857340000002
28,경희궁,98470㎡,서울특별시 종로구 새문안로 55(신문로2가 2-1),37.570772999999996,126.9685341
29,국립현충원,2038741.3㎡,서울특별시 동작구 사당2동 산41-2,37.4998621,126.97368490000001
30,계남근린공원,603715.2㎡,서울특별시 양천구 신정동 산44-2일대,37.513835799999995,126.84796429999999
31,고척근린공원,108120㎡,서울특별시 구로구 고척로45길 39(고척공원),37.5042944,126.85214950000001
